('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.232):('neu', 0.656):('pos', 0.113):('compound', -0.2488)
('neg', 0.0):('neu', 0.486):('pos', 0.514):('compound', 0.6478)
('neg', 0.0):('neu', 0.566):('pos', 0.434):('compound', 0.3182)
('neg', 0.0):('neu', 0.791):('pos', 0.209):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.135):('neu', 0.714):('pos', 0.151):('compound', 0.0572)
('neg', 0.0):('neu', 0.707):('pos', 0.293):('compound', 0.4404)
('neg', 0.349):('neu', 0.651):('pos', 0.0):('compound', -0.7096)
('neg', 0.138):('neu', 0.706):('pos', 0.156):('compound', 0.1531)
('neg', 0.0):('neu', 0.641):('pos', 0.359):('compound', 0.4215)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.536):('neu', 0.464):('pos', 0.0):('compound', -0.7964)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.375):('pos', 0.625):('compound', 0.6124)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.47):('neu', 0.53):('pos', 0.0):('compound', -0.7259)
('neg', 0.0):('neu', 0.85):('pos', 0.15):('compound', 0.3182)
('neg', 0.0):('neu', 0.698):('pos', 0.302):('compound', 0.3804)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.149):('neu', 0.67):('pos', 0.18):('compound', 0.1531)
('neg', 0.0):('neu', 0.844):('pos', 0.156):('compound', 0.34)
('neg', 0.0):('neu', 0.633):('pos', 0.367):('compound', 0.4404)
